School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
2819,Cardinal McKeefry School (Wilton),04 475 3262,,admin@cardinalmckeefry.school.nz,Tania Savage,http://www.cardinalmckeefry.school.nz/,66 Albemarle Road,Wilton,Wellington,66 Albemarle Road,Northland,Wellington,6012,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Northland North,Onslow-Western Ward,99172,Wellington Catholic Community of Learning,174.756973,-41.275842,10,79,49,2,5,15,4,4,0
2820,Carterton School,06 379 4010,06 379 4011,principal@carterton.school.nz,Alison Woollard,http://www.carterton.school.nz/,Holloway Street,,Carterton,P O Box 214,,Carterton,5743,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Carterton District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Carterton,Area Outside Ward,99109,South Wairarapa Community of Learning,175.530685,-41.026465,6,280,168,87,8,15,1,1,0
2821,Cashmere Avenue School,04 939 4700,,office@cashmere-ave.school.nz,Kate Christie,http://www.cashmere-ave.school.nz,110 Cashmere Avenue,Khandallah,Wellington,110 Cashmere Avenue,Khandallah,Wellington,6035,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Te Kainga,Onslow-Western Ward,99139,Northern Suburbs Community of Learning,174.798197,-41.247788,10,351,243,35,2,53,17,1,0
2823,Crofton Downs Primary School,04 479 2429,04 479 2285,office@cdps.school.nz,Toby Stokes,http://www.croftondownsprimary.school.nz/,Chartwell Drive,Crofton Downs,Wellington,Chartwell Drive,Crofton Downs,Wellington,6035,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Crofton Downs,Onslow-Western Ward,99139,Northern Suburbs Community of Learning,174.764037,-41.259599,10,234,162,19,11,34,7,1,0
2824,Churton Park School,04 478 4282,04 478 4283,principal@churtonpark.school.nz,Anne Lye,http://www.churtonpark.school.nz,90 Churton Drive,Churton Park,Wellington,90 Churton Drive,Churton Park,Wellington,6037,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Churton Park South,Northern Ward,99139,Northern Suburbs Community of Learning,174.808277,-41.20847,10,362,182,25,10,135,8,2,0
2826,Clifton Terrace Model School,04 472 7519,04 472 8204,staff@ctms.school.nz,Jennifer Austin and Brigid Conaglen,http://www.ctms.school.nz,15 Clifton Terrace,Kelburn,Wellington,15 Clifton Terrace,Kelburn,Wellington,6012,Main Urban Area,Full Primary,Model School,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Lambton,Lambton Ward,,,174.772853,-41.2833,8,65,39,4,8,13,1,0,0
2827,Clyde Quay School,04 385 0900,04 385 0983,office@clydequay.school.nz,Elizabeth Patara,http://www.clydequay.school.nz,27 Elizabeth Street,Mount Victoria,Wellington,27 Elizabeth Street,Mount Victoria,Wellington,6011,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Mt Victoria West,Lambton Ward,,,174.7845,-41.296017,10,238,126,19,7,75,4,7,0
2828,Corinna School,04 235 9570,04 235 9092,admin@corinna.school.nz,Michele Whiting,http://www.corinna.school.nz,36 Kalingo Street,Porirua East,Porirua,36 Kalingo Street,Waitangirua,Porirua,5024,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Waitangirua,Eastern Ward,99074,Porirua East Community of Learning,174.882281,-41.133541,1,239,4,72,151,4,7,1,0
2831,Dalefield School,06 379 7416,06 379 7416,office@dalefield.school.nz,Eric Daube,http://www.dalefield.school.nz,Dalefield Road,,Carterton,Dalefield Road RD 1,,Carterton,5791,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Carterton District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Mt Holdsworth,Area Outside Ward,99109,South Wairarapa Community of Learning,175.477596,-41.025384,7,51,42,6,2,0,1,0,0
2832,Discovery School,04 234 7103,04 234 7702,finance@discovery.school.nz,Carmen Jennings,http://www.discovery.school.nz,Pullen Lane,Whitby,Porirua,Pullen Lane,Whitby,Porirua,5024,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Discovery,Northern Ward,99068,North Porirua Community of Learning,174.890107,-41.11058,10,456,320,57,19,35,14,11,0
2833,Dyer Street School,04 567 8016,04 567 8076,office@dyerstreet.school.nz,Paula Weston,http://www.dyerstreet.school.nz,Dyer Street,,Lower Hutt,Dyer Street,Epuni,Lower Hutt,5011,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Epuni West,Central Ward,99065,Naenae Community of Learning ,174.936277,-41.202121,4,184,76,58,21,17,12,0,0
2834,Eastern Hutt School,04 566 0167,04 566 8636,office@easternhutt.school.nz,Julie Henderson,http://www.easternhutt.school.nz,Kings Crescent,,Lower Hutt,Kings Crescent,,Lower Hutt,5010,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Hutt Central,Central Ward,,,174.912083,-41.208387,9,670,264,86,24,277,14,5,0
2835,Eketahuna School,06 375 8191,06 375 8618,office@eketahuna.school.nz,Melinda Cowe ,http://www.eketahuna.school.nz,Albert Street,,Eketahuna,Albert Street,,Eketahuna,4900,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Tararua District,Manawatu-Wanganui Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Eketahuna,South Tararua Ward,99071,Tararua Kahui Ako,175.709131,-40.64923,4,117,64,45,2,3,0,3,0
2836,Epuni School,04 939 7702,,office@epuni.school.nz,Janet Evans,http://www.epuni.school.nz,Waiwhetu Road,Fairfield,Lower Hutt,313 Waiwhetu Road,Fairfield,Lower Hutt,5011,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Epuni East,Eastern Ward,99065,Naenae Community of Learning ,174.933368,-41.209258,3,104,25,32,20,17,8,2,0
2837,Evans Bay Intermediate,04 939 3247,04 939 3248,secretary@ebis.school.nz,Louise Bray-Burns,http://www.ebis.school.nz,14 Kemp Street,Kilbirnie,Wellington,P O Box 14084,Kilbirnie,Wellington,6241,Main Urban Area,Intermediate,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Kilbirnie East,Eastern Ward,99141,Wellington East Community of Learning ,174.797044,-41.315374,7,423,247,60,37,58,19,2,0
2838,Fairfield School (Levin),06 368 5513,06 367 9605,office@fairfieldlevin.school.nz,Donna Rowe (Acting),http://www.fairfieldlevin.school.nz,89 Macarthur Street,,Levin,89 Macarthur Street,,Levin,5510,Secondary Urban Area,Full Primary,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Levin East,Levin Ward,99058,Taitoko Kahui Ako,175.304844,-40.6189,3,476,238,125,48,43,11,11,0
2839,Fairhall School,03 577 8939,03 577 8919,jo@fairhall.school.nz,Stephen Crockett,http://www.fairhall.school.nz,New Renwick Road,Fairhall,Blenheim,384 New Renwick Road RD 2,,Blenheim,7272,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Marlborough District,Marlborough Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Fairhall,Wairau-Awatere Ward,99006,Piritahi (2BCoS) Community of Learning,173.896786,-41.530597,10,194,167,16,0,3,2,5,1
2840,Featherston School,06 308 9242,06 308 8463,office@featherston.school.nz,Gina Smith,http://www.featherston.school.nz,Cnr Lyons & Revans Streets,,Featherston,P O Box 141,,Featherston,5740,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,South Wairarapa District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Featherston,Featherston Ward,99109,South Wairarapa Community of Learning,175.32675,-41.118632,4,111,44,60,3,3,1,0,0
2841,Fergusson Intermediate (Trentham),04 528 7023,04 528 3821,admin@fergusson.school.nz,Simon Kenny,http://www.fergusson.school.nz,Hikurangi Street,Trentham,Upper Hutt,Hikurangi Street,Trentham,Upper Hutt,5018,Main Urban Area,Intermediate,Not Applicable,State,Co-Educational,Upper Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Brentwood,Area Outside Ward,,,175.037186,-41.126526,7,482,319,88,27,32,15,1,0
2842,Fernlea School,04 564 6066,04 564 6066,office@fernlea.school.nz,Tony Field,http://www.fernlea.school.nz,25a Lees Grove,Wainuiomata,Lower Hutt,25a Lees Grove,Wainuiomata,Lower Hutt,5014,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Ikaroa-Rawhiti,Fernlea,Wainuiomata Ward,99090,Wainuiomata Community of Learning,174.937905,-41.264097,4,228,123,72,18,13,1,1,0
2843,Fernridge School,06 378 6535,06 378 7483,office@fernridge.school.nz,Janine Devenport,http://www.fernridge.school.nz,Upper Plain Road,,Masterton,Upper Plain Road RD 8,,Masterton,5888,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,Masterton District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Opaki-Fernridge,Rural Ward,99204,Masterton (Whakaoriori) Kahui Ako,175.615934,-40.933594,6,195,135,55,3,1,0,1,0
2844,Fraser Crescent School,04 528 5412,04 528 5435,office@frasercres.school.nz,John Channer,http://www.frasercres.school.nz,16 Redwood Street,Elderslea,Upper Hutt,16 Redwood Street,Elderslea,Upper Hutt,5018,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Upper Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Elderslea,Area Outside Ward,,,175.061058,-41.121541,5,264,119,90,14,25,14,2,0
2845,Gladstone School (Masterton),06 372 7601,06 372 7038,office@gladstone1.school.nz,Margaret Hyslop,http://www.gladstone1.school.nz,Te Whiti Road,,Gladstone,1471 Te Whiti Road RD 4,,Masterton,5884,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Carterton District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Te Wharau,Area Outside Ward,99109,South Wairarapa Community of Learning,175.654504,-41.080436,9,135,114,19,0,0,0,2,0
2846,Pukeatua Primary School (Wainuiomata),04 939 8356,04 939 7681,info@pukeatua.school.nz,Jennifer Adam,http://www.pukeatua.school.nz,Frederick Street,Wainuiomata,Lower Hutt,19 Frederick Street,Wainuiomata,Lower Hutt,5014,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Ikaroa-Rawhiti,Glendale,Wainuiomata Ward,,,174.94952,-41.254031,2,142,7,117,17,0,1,0,0
2847,Glenview School (Porirua East),04 237 7123,04 237 5155,glenviewoffice@pen.net.nz,Lynda Knight-de Blois,http://www.glenviewporirua.school.nz,106 Bedford Street,Porirua East,Porirua,P O Box 53052,Cannons Creek,Porirua,5243,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Cannons Creek North,Eastern Ward,99074,Porirua East Community of Learning,174.86707,-41.147127,1,90,3,22,49,3,12,1,0
2848,Gracefield School,04 569 5422,04 569 5422,office@gracefield.school.nz,Simon Edmonds,http://www.gracefield.school.nz/,Bell Road,Gracefield,Lower Hutt,Bell Road,Waiwhetu,Lower Hutt,5010,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Waiwhetu South,Harbour Ward,,,174.91562,-41.231665,5,232,115,52,22,29,12,2,0
2849,Greenacres School,04 232 6445,04 232 6445,office@greenacres.school.nz,Shirley Porteous,http://www.greenacres.school.nz,Raroa Terrace,Tawa,Wellington,Raroa Terrace,Tawa,Wellington,5028,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Greenacres,Northern Ward,99114,Tawa Community of Learning,174.838773,-41.164324,9,208,120,30,19,36,2,1,0
2850,Greytown School,06 304 9007,06 304 9113,principal@greytown.school.nz,Patrice O'Connor,http://www.greytown.school.nz,East Street,,Greytown,East Street,,Greytown,5712,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,South Wairarapa District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Greytown,Greytown Ward,99109,South Wairarapa Community of Learning,175.460428,-41.082514,8,358,290,45,8,12,3,0,0
2851,Grovetown School,03 578 6250,03 578 2956,office@grovetown.school.nz,Selena Tonks ,http://www.grovetown.school.nz,Vickerman Street,Grovetown,Blenheim,77A Vickerman Street,Grovetown,Blenheim,7202,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Marlborough District,Marlborough Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Spring Creek-Grovetown,Wairau-Awatere Ward,99006,Piritahi (2BCoS) Community of Learning,173.968885,-41.481336,7,71,61,6,3,1,0,0,0
2852,Hampton Hill School,04 232 6509,,office@hamptonhill.school.nz,Kelly Barker (Acting),http://hamptonhill.school.nz,Rimu Street,Tawa,Wellington,Rimu Street,Tawa,Wellington,5028,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Hauauru,Tawa Central,Northern Ward,99114,Tawa Community of Learning,174.822493,-41.166068,6,213,95,45,32,30,11,0,0
2854,Hataitai School,04 386 1510,04 386 1710,office@hataitai.school.nz,Jacinta Simpson,http://www.hataitai.school.nz/,Arawa Road,Hataitai,Wellington,Arawa Road,Hataitai,Wellington,6021,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Hataitai North,Eastern Ward,99141,Wellington East Community of Learning ,174.800728,-41.298114,10,334,268,14,8,26,13,5,0
2855,Havelock School,03 574 2106,03 574 2123,admin@havelock.school.nz,Tony Draaijer (Acting),http://www.havelock.school.nz,47 Main Road,,Havelock,47 Main Road,,Havelock,7100,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Marlborough District,Marlborough Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Havelock,Marlborough Sounds Ward,,,173.766556,-41.280887,5,57,44,7,1,2,2,1,0
2856,Hillcrest School (Pahiatua),06 376 8910,,office@hillcrest.school.nz,Graham Conner (Acting),http://www.hillcrest.school.nz,42 Princess Street,,Pahiatua,42 Princess Street,,Pahiatua,4910,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Tararua District,Manawatu-Wanganui Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Pahiatua,South Tararua Ward,99071,Tararua Kahui Ako,175.847638,-40.457073,2,12,6,6,0,0,0,0,0
2859,Holy Family School (Porirua),04 237 7664,04 237 6109,office@holyfamily.school.nz,Christopher Theobald,http://www.holyfamily.school.nz,169 Mungavin Avenue,Cannons Creek,Porirua,169 Mungavin Avenue,Cannons Creek,Porirua,5024,Main Urban Area,Contributing,Not Applicable,State : Integrated,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Cannons Creek North,Eastern Ward,99074,Porirua East Community of Learning,174.859455,-41.139873,1,234,1,52,166,13,2,0,0
2861,Houghton Valley School,04 939 3318,,admin@houghton.school.nz,Luana Carroll ,http://www.houghton.school.nz,110 Houghton Bay Road,Houghton Bay,Wellington,110 Houghton Bay Road,Houghton Bay,Wellington,6023,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Melrose-Houghton Bay-Southgate,Eastern Ward,,,174.787649,-41.334152,10,218,171,29,7,8,3,0,0
2862,Hutt Central School,04 566 0059,04 566 0055,admin@huttcentral.school.nz,Michael Gendall,http://www.huttcentral.school.nz/,Railway Avenue,,Lower Hutt,6 Railway Avenue,Alicetown,Lower Hutt,5010,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Alicetown,Western Ward,,,174.891819,-41.212431,8,288,168,51,16,49,1,3,0
2863,Hutt Intermediate,04 939 8800,04 939 8811,secretary@his.school.nz,Michael Gillatt,http://www.huttintermediate.school.nz,Kauri Street,Woburn,Lower Hutt,Kauri Street,Woburn,Lower Hutt,5011,Main Urban Area,Intermediate,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Hutt Central,Central Ward,,,174.913594,-41.215243,8,620,346,108,39,110,14,3,0
2865,Island Bay School,04 939 3010,04 939 3011,principal@islandbay.school.nz,Deborah Fenton,http://www.islandbay.school.nz,Thames Street,Island Bay,Wellington,6 Thames Street,Island Bay,Wellington,6023,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Island Bay East,Southern Ward,99171,Capital City Community of Learning,174.77494,-41.335665,10,440,330,42,28,29,10,1,0
2866,Johnsonville School,04 478 7155,04 477 1777,office@johnsonville.school.nz,Barry Schon,http://www.johnsonville.school.nz,Morgan Street,Johnsonville,Wellington,Morgan Street,Johnsonville,Wellington,6037,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Johnsonville North,Northern Ward,,,174.805557,-41.21932,9,356,179,37,19,100,16,5,0
2867,West Park School,04 478 7074,04 478 7593,jor@westpark.school.nz,Luis Echegaray,http://www.westpark.school.nz,97 Broderick Road,Johnsonville,Wellington,Broderick Road,Johnsonville,Wellington,6037,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Raroa,Northern Ward,99139,Northern Suburbs Community of Learning,174.797293,-41.224691,9,410,168,47,27,140,25,3,0
2868,Kahutara School,06 308 8427,06 308 8426,office@kahutara.school.nz,Charmaine Taplin,http://kahutaraschool.co.nz,990 Kahutara Road,,Featherston,Kahutara Road RD 1,,Featherston,5771,Rural Area,Full Primary,Not Applicable,State,Co-Educational,South Wairarapa District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Kahutara,Martinborough Ward,99109,South Wairarapa Community of Learning,175.340717,-41.227188,8,115,100,14,0,0,1,0,0
2871,Kapanui School,04 902 5015,04 902 5016,admin@kapanui.school.nz,Des Hedley,http://www.kapanui.school.nz,23 Rimu Street,,Waikanae,P O Box 317,,Waikanae,5250,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Kapiti Coast District,Wellington Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Waikanae West,Waikanae Ward,99137,Kapiti North Community of Learning,175.054628,-40.873785,9,585,413,94,25,30,18,5,0
2872,Mahinawa Specialist School and Resource Centre,04 238 4314,04 238 4397,office@mahinawa.school.nz,Sue McLean,http://www.schoolground.co.nz/kapimana,1b Takapuwahia Drive,,Porirua,P O Box 50261,,Porirua,5240,Main Urban Area,Special School,School for pupils with intellectual impairments,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Elsdon-Takapuwahia,Western Ward,99094,Te Puna Matauranga Kahui Ako,174.830023,-41.12722,5,82,37,22,15,7,1,0,0
2873,Kapiti School,04 298 5605,04 298 5606,admin@kapiti.school.nz,Martin Hett,http://www.kapiti.school.nz/,20 Iver Trask Place,,Paraparaumu,P O Box 134,,Paraparaumu,5254,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Kapiti Coast District,Wellington Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Paraparaumu Central,Paraparaumu Ward,99138,Kapiti South Community of Learning,175.005021,-40.914308,4,210,91,72,18,21,7,1,0
2874,Karori Normal School,04 476 7209,04 476 7236,office@kns.school.nz,Conrad Kelly,http://www.kns.school.nz,Donald Street,Karori,Wellington,Donald Street,Karori,Wellington,6012,Main Urban Area,Full Primary,Normal School,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Karori East,Onslow-Western Ward,99213,Wellington West Community of Learning,174.741874,-41.284073,10,753,591,22,9,113,13,5,0
2875,Karori West Normal School,04 476 6165,04 476 5789,jshramka@kwns.school.nz,Janice Shramka ,http://www.kwns.school.nz,Allington Road,Karori,Wellington,Allington Road,Karori,Wellington,6012,Main Urban Area,Full Primary,Normal School,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Karori Park,Onslow-Western Ward,,,174.722326,-41.289454,10,523,307,64,22,98,24,6,2
2876,Kelburn Normal School,04 475 9351,,admin@kelburnnormal.school.nz,Andrew Bird,http://www.kelburnnormal.school.nz/,Kowhai Road,Kelburn,Wellington,Kowhai Road,Kelburn,Wellington,6012,Main Urban Area,Full Primary,Normal School,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Kelburn,Lambton Ward,99213,Wellington West Community of Learning,174.761649,-41.287277,10,300,221,11,7,46,2,4,9
2877,Kelson School,04 565 0450,04 565 0097,office@kelson.school.nz,Judy Pemberton,http://www.kelson.school.nz,52 Taieri Crescent,Kelson,Lower Hutt,52 Taieri Crescent,Kelson,Lower Hutt,5010,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Ikaroa-Rawhiti,Kelson,Western Ward,,,174.933121,-41.180638,9,222,135,31,15,36,5,0,0
2878,Kenakena School,04 298 4011,,office1@kenakena.school.nz,Bruce McDonald,http://www.kenakena.school.nz,Donovan Road,,Paraparaumu Beach,P O Box 1441,Paraparaumu Beach,Paraparaumu,5252,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Kapiti Coast District,Wellington Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Paraparaumu Beach North,Paraparaumu Ward,99137,Kapiti North Community of Learning,174.992264,-40.884056,7,524,337,107,9,41,30,0,0
2879,Khandallah School,04 479 6685,04 479 6687,office@khandallah.school.nz,Louise Green,http://www.khandallah.school.nz/,20 Clark Street,Khandallah,Wellington,20 Clark Street,Khandallah,Wellington,6035,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Khandallah Park-Broadmeadows,Onslow-Western Ward,,,174.789741,-41.244029,10,409,301,24,4,71,3,6,0
2880,Kilbirnie School,04 939 2311,04 939 2312,office@kilbirnie.school.nz,Tony Austin,http://www.kilbirnie.school.nz,72 Hamilton Road,Hataitai,Wellington,P O Box 14543,Kilbirnie,Wellington,6241,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Kilbirnie West-Hataitai South,Eastern Ward,99141,Wellington East Community of Learning ,174.793705,-41.308635,10,213,145,22,12,25,7,2,0
2882,Koputaroa School,06 368 7938,06 368 7935,office@koputaroa.school.nz,Danielle Maclean,http://www.koputaroa.school.nz/,399 Koputaroa Road,,Levin,399 Koputaroa Road RD 5,,Levin,5575,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Mangaore-Manakau,Waiopehu Ward,99058,Taitoko Kahui Ako,175.337386,-40.578429,6,177,119,49,5,1,1,2,0
2883,Korokoro School,04 569 1821,04 569 1684,admin@korokoro.school.nz,Martin Hookham,http://www.korokoro.school.nz,Korokoro Road,Petone,Lower Hutt,Korokoro Road,Korokoro,Lower Hutt,5012,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Korokoro,Harbour Ward,,,174.867211,-41.215811,10,184,132,20,4,25,2,1,0
2886,Levin East School,06 368 7494,06 368 7493,,Richard Sheterline,http://www.levineast.school.nz,Bartholomew Road,,Levin,90 Bartholomew Road,,Levin,5510,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Playford Park,Levin Ward,99058,Taitoko Kahui Ako,175.296785,-40.628682,2,391,103,213,31,19,4,21,0
2887,Levin Intermediate,06 368 8306,06 368 8305,office@lis.school.nz,Sheree GARTON,http://www.lis.school.nz,Collingwood Street,,Levin,Collingwood Street,,Levin,5510,Secondary Urban Area,Intermediate,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Levin West,Levin Ward,99058,Taitoko Kahui Ako,175.270373,-40.62007,2,250,89,130,21,5,1,4,0
2888,Levin North School,06 368 4436,06 368 6815,office@levinnorth.school.nz,Moira Howard,http://www.levinnorth.school.nz,Weraroa Road,,Levin,148 Weraroa Road,,Levin,5510,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Levin North,Levin Ward,99058,Taitoko Kahui Ako,175.286113,-40.614282,3,247,116,108,12,5,3,3,0
2889,Levin School,06 368 6562,06 368 7865,,Paddy Sannazzaro,http://www.levin.school.nz/,67 Tiro Tiro Road,,Levin,67 Tiro Tiro Road,,Levin,5510,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Levin West,Levin Ward,99058,Taitoko Kahui Ako,175.272587,-40.620141,1,126,48,61,12,3,1,1,0
2890,Linden School,04 232 5329,04 232 6629,office@linden.school.nz,Gaylene Hill,http://www.linden.school.nz,Ranui Terrace,Tawa,Wellington,P O Box 51190,Tawa,Wellington,5249,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Linden,Northern Ward,99114,Tawa Community of Learning,174.835441,-41.159351,4,82,21,25,15,16,5,0,0
2891,Linkwater School,03 574 2200,,office@linkwater.school.nz,Debra Leov,http://www.linkwater.school.nz,1357 Queen Charlotte Drive,,Linkwater,1357 Queen Charlotte Drive RD 1,,Picton,7281,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Marlborough District,Marlborough Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Marlborough Sounds Terrestrial,Marlborough Sounds Ward,,,173.87947,-41.289162,7,30,23,5,0,0,0,2,0
